Model,Serial Number,laptop warrenty and validity ,Lifespan of laptop,Location,Status,Comment,,,,,,,,,,,,
Dell Inspiron 15 3520,CLL39T3,Start date 15 Nov 2022 - Expiry date 21 Aug 2024 - 2Yrs,out of warranty,Hyderabad,In Stock,returned by srikanth : hinge and side panel broken,,,,,,,,,,,,
Dell Inspiron 3511,3T7SQM3,Start date 29 Mar 2023 - Expiry date 30 Mar 2025 - 2Yrs,Its under warranty,India,In Stock,Returnd by mohan,,,,,,,,,,,,
Lenovo 82H2,PF30YW92,Start date 10 Aug 2022 - Expiry date 09 Dec 2023 - 1Yrs,Less than Year old,Banglore,In Stock,Hinge broken damaged product no warranty (Arphan laptop),,,,,,,,,,,,
Dell Inspiron 15 3520,5J8J9T3,Start date 15 Nov 2022 - Expiry date 21 Aug 2024 - 2Yrs,Less than Year old,Manglore,In Stock,Hinge broken damaged product (thushar laptop),,,,,,,,,,,,
HP Pavilion,5CD116WCFH,Start date 22 July 2021 - Expiry date 21 July 2022 - 1Yrs,out of warranty,Banglore,In Stock,0,,,,,,,,,,,,
ACER Aspire,NXA1GSI00D1441587F3400,Start date 22 Feb 2022 - Expiry date 21 Feb 2025 - 4Yrs,Its under Warranty,Banglore,In Stock,returned by abhishek,,,,,,,,,,,,
