Model ,Serial Number,Category,Laptop warrenty,Lifespan,Damage Description,Location,
Acer Aspire A715-75G      , NHQ81SI0030300003E3400,Laptop,Start date 10 Aug 2020 - Expiry date 09 sept 2021 - 1Yrs,Out of warranty,Keyboard not working ,Mangalore,
Lenovo IdeaPad 3 ,PF31EVQH,Laptop,Start date 04 Dec 2021 - Expiry date 05 Jan 2024 - 3Yrs,Out of warranty,Damaged,Hyderabad,
Lenovo Ideapad Slim 5,PG02L2XK,Laptop,Start date 22 Jan 2022 - Expiry date 21 Jan 2023 - 1Yrs,Out of warranty,Damaged,Hyderabad,
Dell Inspiron 15 3520,CLL39T3,Laptop,Start date 15 Nov 2022 - Expiry date 21 Aug 2024 - 2Yrs,Out of warranty,hinge and side panel broken,Hyderabad,
HP,5CD1208WMK,Laptop,,,Screen flickering issue/ Display damage ,Banglore,
Dell Inspiron 15 3520,6KKNXR3,Laptop,Start date 10 Aug 2022 - Expiry date 09 Dec 2023 - 1Yrs,Out of warranty,Hinge broken damaged product no warranty (Arphan laptop),Bangalore,
,,,,,,,
